modelo;prompt;tiempo_respuesta_s;longitud_respuesta;respuesta_completa;test_id
modelo-prueba-final;En un triángulo △ABC, sean I el centro del incírculo y Γ el circuncírculo. La línea AI intersecta a Γ en D (aparte de A). SeEa E un punto en el arco BDC de Γ y F un punto en el segmento BC, tal que ∠BAF=∠CAE< 21∠BAC. Si G es el punto medio de AI y M es el punto medio de EF, demuestre que la línea MG es paralela a la línea BC.;2412.8450078964233;0;;1
modelo-prueba-final;En un triángulo △ABC, sean I el centro del incírculo y Γ el circuncírculo. La línea AI intersecta a Γ en D (aparte de A). SeEa E un punto en el arco BDC de Γ y F un punto en el segmento BC, tal que ∠BAF=∠CAE< 21∠BAC. Si G es el punto medio de AI y M es el punto medio de EF, demuestre que la línea MG es paralela a la línea BC.;2624.8935961723328;0;;2
modelo-prueba-final;En un triángulo △ABC, sean I el centro del incírculo y Γ el circuncírculo. La línea AI intersecta a Γ en D (aparte de A). SeEa E un punto en el arco BDC de Γ y F un punto en el segmento BC, tal que ∠BAF=∠CAE< 21∠BAC. Si G es el punto medio de AI y M es el punto medio de EF, demuestre que la línea MG es paralela a la línea BC.;667.1191921234131;1857;"Let  

\[
I=\text{ incenter of }\triangle ABC ,\qquad  
E\in (ABC), \qquad  AE \perp I\!\!\!  .
\]

The lines \(AE\) and \(AF\) are isogonal with respect to the angle at \(A\);
hence the point \(F\) is the isogonal conjugate of \(E\) in \(\triangle ABC\).
--------------------------------------------------------------------

### 1.  The circle through \(E\) tangent to \(BC\)

Let \(D\) be the point of contact of the incircle with \(BC\).
The reflection \(I^{\ast}\) of the incenter \(I\) in the line \(BC\) is the
center of the circle \(\omega\) which is tangent to \(BC\) at \(D\) and
passes through \(E\).
Consequently \(I^{\ast}E\) is tangent to the incircle and
\(\omega\) meets the incircle in the pair of antipodal points \(I\) and
\(F\); hence

\[
I,\;E,\;F\quad\text{are collinear.}\tag{1}
\]

--------------------------------------------------------------------

### 2.  A homothety with centre \(E\)

Let \(\mathcal H_{E}\) be the homothety with centre \(E\) that sends the
incircle to the circle \(\omega\).
Since \(\mathcal H_{E}\) maps the centre \(I\) of the incircle to its
image \(F\) on \(\omega\), the image of the midpoint \(G\) of \(AI\) under
\(\mathcal H_{E}\) is the midpoint \(M\) of \(EF\).  
Thus

\[
GM\;=\;\mathcal H_{E}(AI). \tag{2}
\]

--------------------------------------------------------------------

### 3.  Parallelism

Because the circle \(\omega\) is tangent to \(BC\), the line
\(I^{\ast}D\) is parallel to \(BC\).
The homothety \(\mathcal H_{E}\) preserves angles, so
the image of the line \(AI\) is a line through \(M\) parallel to
\(BC\).  By (2) this image is exactly \(GM\); hence

\[
GM\;\parallel\;BC .
\]

--------------------------------------------------------------------

Therefore the line that passes through the mid‑points of the segments
\(AI\) and \(EF\) is indeed parallel to the side \(BC\).   ∎";3
modelo-prueba-final;En un triángulo △ABC, sean I el centro del incírculo y Γ el circuncírculo. La línea AI intersecta a Γ en D (aparte de A). SeEa E un punto en el arco BDC de Γ y F un punto en el segmento BC, tal que ∠BAF=∠CAE< 21∠BAC. Si G es el punto medio de AI y M es el punto medio de EF, demuestre que la línea MG es paralela a la línea BC.;ERROR;ERROR;"ERROR: error parsing tool call: raw='import sympy as sp

# Define symbols
a,b = sp.symbols('a b', real=True, nonzero=True)
# Coordinates
A = sp.Point(a,b)
B = sp.Point(0,0)
C = sp.Point(1,0)

# side lengths
c = A.distance(B) # AB
b_side = A.distance(C) # AC
a_side = B.distance(C) # BC = 1

# Incenter using barycentric formula
# Coordinates of incenter:
I_x = (a_side*A.x + b_side*B.x + c*A.x)/(a_side + b_side + c) # but need each side
I_y = (a_side*A.y + b_side*B.y + c*A.y)/(a_side + b_side + c)
I = sp.Point(sp.simplify(I_x), sp.simplify(I_y))
I
', err=invalid character 'i' looking for beginning of value (status code: 500)";4
modelo-prueba-final;En un triángulo △ABC, sean I el centro del incírculo y Γ el circuncírculo. La línea AI intersecta a Γ en D (aparte de A). SeEa E un punto en el arco BDC de Γ y F un punto en el segmento BC, tal que ∠BAF=∠CAE< 21∠BAC. Si G es el punto medio de AI y M es el punto medio de EF, demuestre que la línea MG es paralela a la línea BC.;2626.516741037369;0;;5
modelo-prueba-final;En un triángulo △ABC, sean I el centro del incírculo y Γ el circuncírculo. La línea AI intersecta a Γ en D (aparte de A). SeEa E un punto en el arco BDC de Γ y F un punto en el segmento BC, tal que ∠BAF=∠CAE< 21∠BAC. Si G es el punto medio de AI y M es el punto medio de EF, demuestre que la línea MG es paralela a la línea BC.;506.856920003891;1584;"Let the points \(D\) and \(E\) lie on the circum‑circle of \(\triangle ABC\) and let \(AD\) be a diameter of this circle.  
Denote by \(G\) the midpoint of the diameter \(AD\) and by \(M\) the midpoint of the chord \(EF\).  

-----------------------------------------------------------------------

### 1.  Geometry of the situation  

* \(AD\) is a diameter, hence the line \(AD\) is the perpendicular bisector of side \(BC\).  
  Consequently  

  \[
  \angle BAD = \angle BAI = 90^{\circ}-\angle B ,
  \]

  because \(AD\perp BC\) and \(AB\) makes an angle \(\angle B\) with \(BC\).

* The points \(E\) and \(F\) lie on a common chord \(EF\).  
  Since \(I\) is the second intersection of line \(AD\) with the circumcircle, the line \(AD\) (hence \(AI\)) is the perpendicular bisector of \(EF\).  
  Therefore the midpoint \(M\) of the chord \(EF\) lies on the line \(AD\) as well; in other words, \(M\in AD\).

Thus the line through the midpoints of \(AD\) and \(EF\) is simply the line \(AD\).

-----------------------------------------------------------------------

### 2.  The required angle  

The line segment that joins the midpoints of \(AD\) and \(EF\) is the line \(AD\) itself.  
Hence the angle between this segment and side \(AB\) is exactly the angle between \(AB\) and \(AD\), i.e.

\[
\angle (GM,AB)=\angle BAD=90^{\circ}-\angle B .
\]

-----------------------------------------------------------------------

\[
\boxed{\;\text{The desired angle is }90^{\circ}-\angle B\;}
\]

(Equivalently, it is the complement of the angle at vertex \(B\) of \(\triangle ABC\).)";6
modelo-prueba-final;En un triángulo △ABC, sean I el centro del incírculo y Γ el circuncírculo. La línea AI intersecta a Γ en D (aparte de A). SeEa E un punto en el arco BDC de Γ y F un punto en el segmento BC, tal que ∠BAF=∠CAE< 21∠BAC. Si G es el punto medio de AI y M es el punto medio de EF, demuestre que la línea MG es paralela a la línea BC.;399.7557520866394;2154;"Let  

\[
\begin{array}{l}
A,\;B,\;C\in\mathbb {R}^{2}\quad (\text{non‑collinear}) ,
\\[2mm]
I=\text{in‑centre of }\triangle ABC ,\qquad   
G=\frac{A+I}{2},
\\[2mm]
E\in\Gamma (ABC),\quad 
F\in BC \text{ is the isogonal of } AE \text{ with respect to }A ,
\\[2mm]
M=\frac{E+F}{2}.
\end{array}
\]

--------------------------------------------------------------------
### 1.  Geometry of the points \(E\) and \(F\)

Because \(F\) is the isogonal of the line \(AE\) with respect to the
vertex \(A\) of \(\triangle ABC\),

\[
\angle BAF=\angle CAE   \tag{1}
\]

holds (definition of isogonal lines).  
Consequently the line \(AI\) also bisects \(\angle EAF\); indeed

\[
\angle EAI=\angle IAF ,
\]
and by the angle–bisector theorem

\[
\frac{E M}{M F}=\frac{E A}{A F}.      \tag{2}
\]

--------------------------------------------------------------------
### 2.  The line \(BC\) and the symmedian of \(\triangle AEF\)

In \(\triangle AEF\) the line \(AI\) is the internal bisector of the
angle at \(A\).  
Hence the point \(I\) is the ex‑centre of \(\triangle AEF\) opposite
\(E\).  
The ex‑symmedian of \(\triangle AEF\) through \(A\) is therefore the
projection of the internal bisector \(AI\) on the side \(EF\).  
For an ex‑symmedian the following holds:

\[
\frac{E M}{M F}=\frac{E I}{I F}.      \tag{3}
\]

Combining (2) and (3) gives

\[
\frac{E I}{I F}=\frac{E A}{A F} .
\]

--------------------------------------------------------------------
### 3.  The midpoint line

From the previous proportion we obtain, using the mass–point
technique,

\[
\frac{E I}{I F}=\frac{E M}{M F}
      \quad\Longrightarrow\quad
      \frac{E+F-A-I}{\,C-B\,}= \text{constant}.          \tag{4}
\]

Equation (4) is equivalent to

\[
M-G=\frac{E+F-A-I}{2}\parallel (C-B)=BC .
\]

Thus the segment joining the mid‑points \(M\) and \(G\) is parallel to
\(BC\).

--------------------------------------------------------------------
### 4.  Conclusion

The mid‑point \(G\) of the segment \(AI\) (the internal bisector of
\(\triangle ABC\)) and the mid‑point \(M\) of the chord \(EF\)
(formed by the isogonal pair \(AE,\;AF\)) satisfy

\[
\boxed{\,GM\;\parallel\;BC\,}.
\]

∎";7
modelo-prueba-final;En un triángulo △ABC, sean I el centro del incírculo y Γ el circuncírculo. La línea AI intersecta a Γ en D (aparte de A). SeEa E un punto en el arco BDC de Γ y F un punto en el segmento BC, tal que ∠BAF=∠CAE< 21∠BAC. Si G es el punto medio de AI y M es el punto medio de EF, demuestre que la línea MG es paralela a la línea BC.;1035.352387189865;2027;"**Solution – A synthetic proof**

Because the two angles  
\[
\angle BAF\;=\;\angle CAE
\]
are equal, the arcs that they intercept on the circum‑circle are equal.  
Consequently the two chords of the circle that subtend these angles have the
same length, i.e.  
\[
BF \;=\; CE . \tag{1}
\]

The line \(AD\) is the internal bisector of \(\angle BAC\); the point \(G\) is
the intersection of the bisector \(AD\) with the circum‑circle of
\(ABC\) (hence \(G\) and \(D\) lie on the same circle).  
Let \(E\) be the point of this circle for which the line \(IE\) is
parallel to \(GD\).  The line through \(I\) that is parallel to \(GD\)
therefore meets the circle exactly at \(E\).

--------------------------------------------------------------------
### 1.  The point \(M\) lies on the line \(GD\)

The point \(M\) is defined as the intersection of the two lines  
\(GD\) and the line through \(I\) parallel to \(GD\).  
By construction these two lines meet in the unique point \(M\); hence
\(M\) is a point of the line \(GD\).  Thus the three points
\(G,\;M,\;D\) are collinear.

--------------------------------------------------------------------
### 2.  The point \(M\) is between \(G\) and \(D\)

From the similarity of the triangles \(\triangle BAF\) and
\(\triangle CAE\) (established by the equality of the angles in
(1)) we obtain the proportion  

\[
\frac{BF}{CE}= \frac{BA}{CA}= \frac{AF}{AE}.
\]

Using \(BF = CE\) (from (1)) gives \(AF = AE\).  
Therefore the segment \(AE\) is bisected by the point \(I\); hence the
line through \(I\) that is parallel to \(GD\) is the line that passes
through the midpoint of \(AE\).  Because \(I\) lies inside the triangle,
this line cuts the segment \(GD\) at a point that must lie between the
end‑points \(G\) and \(D\).

--------------------------------------------------------------------
Combining (1) and the above two observations we conclude that

\[
\boxed{\; M \text{ lies on the segment } GD\; } .
\]

Thus the required point \(M\) indeed belongs to the segment \(GD\).";8
modelo-prueba-final;En un triángulo △ABC, sean I el centro del incírculo y Γ el circuncírculo. La línea AI intersecta a Γ en D (aparte de A). SeEa E un punto en el arco BDC de Γ y F un punto en el segmento BC, tal que ∠BAF=∠CAE< 21∠BAC. Si G es el punto medio de AI y M es el punto medio de EF, demuestre que la línea MG es paralela a la línea BC.;ERROR;ERROR;"ERROR: error parsing tool call: raw='import sympy as sp
A=sp.Point(0,0)
B=sp.Point(2,0)
C=sp.Point(1,3)
O=sp.Line(A,B).intersection(sp.Line(A,C))[0]
O
', err=invalid character 'i' looking for beginning of value (status code: 500)";9
modelo-prueba-final;En un triángulo △ABC, sean I el centro del incírculo y Γ el circuncírculo. La línea AI intersecta a Γ en D (aparte de A). SeEa E un punto en el arco BDC de Γ y F un punto en el segmento BC, tal que ∠BAF=∠CAE< 21∠BAC. Si G es el punto medio de AI y M es el punto medio de EF, demuestre que la línea MG es paralela a la línea BC.;2621.9578449726105;0;;10
